loan_dim_loan_dim_id;account_dim_account_id;amount;duration;payments;calendar_dim_year ;calendar_dim_month;calendar_dim_day
6755;8713;170700;60;2845.00;98;7;24
5991;4858;335184;48;6983.00;98;7;27
7035;10005;210744;36;5854.00;98;7;29
5893;4467;86184;36;2394.00;98;8;3
7164;10613;249792;48;5204.00;98;8;15
5304;1718;172272;24;7178.00;98;8;20
5561;2910;437460;60;7291.00;98;8;29
5520;2699;231168;48;4816.00;98;8;30
5241;1389;125472;24;5228.00;98;9;2
7096;10257;37812;12;3151.00;98;9;2
6078;5283;170832;48;3559.00;98;9;9
5046;349;42816;12;3568.00;98;9;9
5334;1876;209040;24;8710.00;98;9;10
6969;9673;88200;36;2450.00;98;9;12
6821;9037;321936;48;6707.00;98;9;15
5760;3862;74916;36;2081.00;98;9;18
5614;3137;253560;60;4226.00;98;9;21
7091;10243;113436;36;3151.00;98;9;22
5698;3556;174840;60;2914.00;98;9;22
5169;1068;253200;60;4220.00;98;9;24
7294;11327;39168;24;1632.00;98;9;27
5318;1808;385584;48;8033.00;98;9;30
5368;2073;44640;24;1860.00;98;10;5
6923;9433;44640;24;1860.00;98;10;5
5463;2413;17952;12;1496.00;98;10;6
5265;1498;165780;60;2763.00;98;10;7
6321;6505;38496;12;3208.00;98;10;8
5226;1318;185544;36;5154.00;98;10;11
6868;9208;82128;24;3422.00;98;10;12
4967;37;318480;60;5308.00;98;10;14
5293;1656;189792;48;3954.00;98;10;29
5865;4354;327660;60;5461.00;98;10;30
5841;4268;41988;12;3499.00;98;11;4
5526;2725;69624;36;1934.00;98;11;8
6852;9140;16032;48;334.00;98;11;10
6469;7180;99744;24;4156.00;98;11;17
6168;5698;99216;36;2756.00;98;11;21
7292;11317;317460;60;5291.00;98;11;22
5036;309;91248;48;1901.00;98;11;25
5644;3293;276084;36;7669.00;98;11;27
6856;9156;163332;36;4537.00;98;12;1
5428;2262;230220;36;6395.00;98;12;2
5027;276;160920;36;4470.00;98;12;2
4989;105;352704;48;7348.00;98;12;5
5221;1284;52512;12;4376.00;98;12;5
6402;6922;139488;24;5812.00;98;12;6
5346;1928;55632;24;2318.00;98;12;6
6748;8645;240900;60;4015.00;98;12;8
